# k [ h Mpc ^{-1}] ,      P_k [ h^{-3} Mpc^3]
   0.13343E-03    606.37    
   0.13796E-03    626.12    
   0.14264E-03    646.52    
   0.14749E-03    667.58    
   0.15250E-03    689.29    
   0.15768E-03    711.72    
   0.16303E-03    734.87    
   0.16857E-03    758.73    
   0.17430E-03    783.37    
   0.18022E-03    808.82    
   0.18634E-03    835.03    
   0.19266E-03    862.10    
   0.19921E-03    890.06    
   0.20597E-03    918.82    
   0.21297E-03    948.54    
   0.22020E-03    979.24    
   0.22768E-03    1010.8    
   0.23542E-03    1043.4    
   0.24341E-03    1077.1    
   0.25168E-03    1111.7    
   0.26023E-03    1147.4    
   0.26907E-03    1184.3    
   0.27821E-03    1222.2    
   0.28765E-03    1261.4    
   0.29743E-03    1301.8    
   0.30753E-03    1343.3    
   0.31797E-03    1386.1    
   0.32877E-03    1430.3    
   0.33994E-03    1475.8    
   0.35148E-03    1522.6    
   0.36342E-03    1571.0    
   0.37577E-03    1620.6    
   0.38853E-03    1671.6    
   0.40173E-03    1724.4    
   0.41537E-03    1778.5    
   0.42948E-03    1834.1    
   0.44407E-03    1891.6    
   0.45915E-03    1950.6    
   0.47474E-03    2011.2    
   0.49087E-03    2073.8    
   0.50754E-03    2137.9    
   0.52478E-03    2203.9    
   0.54260E-03    2272.0    
   0.56103E-03    2341.8    
   0.58009E-03    2413.5    
   0.59979E-03    2487.6    
   0.62016E-03    2563.4    
   0.64122E-03    2641.4    
   0.66300E-03    2722.0    
   0.68552E-03    2804.4    
   0.70881E-03    2889.2    
   0.73288E-03    2976.7    
   0.75777E-03    3066.3    
   0.78351E-03    3158.6    
   0.81012E-03    3253.8    
   0.83764E-03    3351.3    
   0.86609E-03    3451.8    
   0.89550E-03    3555.3    
   0.92592E-03    3661.6    
   0.95737E-03    3771.1    
   0.98989E-03    3883.9    
   0.10235E-02    3999.8    
   0.10583E-02    4119.2    
   0.10942E-02    4242.1    
   0.11314E-02    4368.6    
   0.11698E-02    4498.8    
   0.12095E-02    4632.8    
   0.12506E-02    4770.6    
   0.12931E-02    4912.6    
   0.13370E-02    5058.5    
   0.13824E-02    5208.7    
   0.14294E-02    5363.3    
   0.14779E-02    5521.9    
   0.15281E-02    5685.3    
   0.15800E-02    5853.4    
   0.16337E-02    6025.6    
   0.16892E-02    6203.0    
   0.17466E-02    6385.1    
   0.18059E-02    6571.8    
   0.18672E-02    6764.3    
   0.19306E-02    6960.9    
   0.19962E-02    7163.0    
   0.20640E-02    7371.2    
   0.21341E-02    7582.8    
   0.22066E-02    7801.0    
   0.22815E-02    8024.6    
   0.23590E-02    8252.5    
   0.24392E-02    8487.6    
   0.25220E-02    8726.4    
   0.26077E-02    8971.3    
   0.26962E-02    9223.4    
   0.27878E-02    9477.8    
   0.28825E-02    9740.2    
   0.29804E-02    10007.    
   0.30816E-02    10279.    
   0.31863E-02    10559.    
   0.32945E-02    10841.    
   0.34064E-02    11130.    
   0.35221E-02    11424.    
   0.36417E-02    11722.    
   0.37654E-02    12029.    
   0.38933E-02    12336.    
   0.40256E-02    12650.    
   0.41623E-02    12970.    
   0.43037E-02    13291.    
   0.44498E-02    13622.    
   0.46010E-02    13950.    
   0.47573E-02    14287.    
   0.49188E-02    14625.    
   0.50859E-02    14966.    
   0.52586E-02    15315.    
   0.54372E-02    15658.    
   0.56219E-02    16012.    
   0.58129E-02    16361.    
   0.60103E-02    16714.    
   0.62144E-02    17070.    
   0.64255E-02    17422.    
   0.66438E-02    17782.    
   0.68694E-02    18130.    
   0.71027E-02    18488.    
